Phrase,Meaning,Example,Source
Elaborate,手の込んだ,,[Leap]見出し番号 1808
Prompt,迅速な,,[Leap]見出し番号 1809
Swift,素早い,,[Leap]見出し番号 1810
Mighty,強力な,,[Leap]見出し番号 1811
Explicit,明確な,,[Leap]見出し番号 1812
Authentic,本物の,,[Leap]見出し番号 1813
Wit,機知,,[Leap]見出し番号 1814
Thrive,好調である,,[Leap]見出し番号 1815
Dim,薄暗い,,[Leap]見出し番号 1816
Gloomy,薄暗い,,[Leap]見出し番号 1817
Barren,不毛な,,[Leap]見出し番号 1818
Idle,何もしていない,,[Leap]見出し番号 1819
Adverse,不都合な,,[Leap]見出し番号 1820
Tiresome,退屈な,,[Leap]見出し番号 1821
Clumsy,不器用な,,[Leap]見出し番号 1822
Foul,不快な,,[Leap]見出し番号 1823
Shabby,みすぼらしい,,[Leap]見出し番号 1824
Outrageous,常軌を逸した,,[Leap]見出し番号 1825
Absurd,馬鹿げた,,[Leap]見出し番号 1826
Fragile,壊れやすい,,[Leap]見出し番号 1827
Vulnerable,傷つきやすい,,[Leap]見出し番号 1828
Static,静的な,,[Leap]見出し番号 1829
Innate,先天的の,,[Leap]見出し番号 1830
Exotic,外来の,,[Leap]見出し番号 1831
Tame,飼いならされた,,[Leap]見出し番号 1832
Manifest,明らかな,,[Leap]見出し番号 1833
Dense,密接した,,[Leap]見出し番号 1834
Transparent,透明な,,[Leap]見出し番号 1835
Consistent,矛盾のない,,[Leap]見出し番号 1836
Coherent,一貫している,,[Leap]見出し番号 1837
Universal,普遍的な,,[Leap]見出し番号 1838
Underlying,根底にある,,[Leap]見出し番号 1839
Spontaneous,自然発生的な,,[Leap]見出し番号 1840
Mock,模擬の,,[Leap]見出し番号 1841
Collective,集団の,,[Leap]見出し番号 1842
Vertical,垂直の,,[Leap]見出し番号 1843
Ongoing,進行中の,,[Leap]見出し番号 1844
Tender,柔らかい,,[Leap]見出し番号 1845
Upright,直立して,,[Leap]見出し番号 1846
Ease,簡単さ,,[Leap]見出し番号 1847
Rust,錆,,[Leap]見出し番号 1848
Stain,染み,,[Leap]見出し番号 1849
Rag,ぼろきれ,,[Leap]見出し番号 1850
Texture,感触,,[Leap]見出し番号 1851
Preliminary,予備的な,,[Leap]見出し番号 1852
Mandatory,義務的な,,[Leap]見出し番号 1853
Indigenous,固有の,,[Leap]見出し番号 1854
Respective,それぞれの,,[Leap]見出し番号 1855
Multiply,を増やす,,[Leap]見出し番号 1856
Soar,急上昇する,,[Leap]見出し番号 1857
Diminish,減少する,,[Leap]見出し番号 1858
Accumulate,を蓄積する,,[Leap]見出し番号 1859
Exceed,を超える,,[Leap]見出し番号 1860
Abundant,豊富な,,[Leap]見出し番号 1861
Ample,豊富な,,[Leap]見出し番号 1862
Gross,総計の,,[Leap]見出し番号 1863
Infinite,無限の,,[Leap]見出し番号 1864
Sole,唯一の,,[Leap]見出し番号 1865
Heap,山,,[Leap]見出し番号 1866
Fraction,少量,,[Leap]見出し番号 1867
Simultaneous,同時の,,[Leap]見出し番号 1868
Medieval,中世の,,[Leap]見出し番号 1869
Dawn,夜明け,,[Leap]見出し番号 1870
Span,期間,,[Leap]見出し番号 1871
Adolescent,思春期の若者,,[Leap]見出し番号 1872
Millennium,千年間,,[Leap]見出し番号 1873
Expire,期限が切れる,,[Leap]見出し番号 1874
Postpone,を延期する,,[Leap]見出し番号 1875
Periodically,定期的に,,[Leap]見出し番号 1876
Array,様々な,,[Leap]見出し番号 1877
Realm,領域,,[Leap]見出し番号 1878
Domain,領域,,[Leap]見出し番号 1879
Boundary,境界,,[Leap]見出し番号 1880
Spectrum,範囲,,[Leap]見出し番号 1881
Equip,を装備させる,,[Leap]見出し番号 1882
Transmit,を送る,,[Leap]見出し番号 1883
Endow,を授ける,,[Leap]見出し番号 1884
Inherit,を受け継ぐ,,[Leap]見出し番号 1885
Retrieve,を回収する,,[Leap]見出し番号 1886
Displace,に取って代わる,,[Leap]見出し番号 1887
Bond,絆,,[Leap]見出し番号 1888
Hospitality,もてなし,,[Leap]見出し番号 1889
Certificate,証明書,,[Leap]見出し番号 1890
Brochure,パンフレット,,[Leap]見出し番号 1891
Outlet,コンセント,,[Leap]見出し番号 1892
Accommodation,宿泊施設,,[Leap]見出し番号 1893
Haven,避難所,,[Leap]見出し番号 1894
Venue,開催地,,[Leap]見出し番号 1895
Intersection,交差点,,[Leap]見出し番号 1896
Pavement,歩道,,[Leap]見出し番号 1897
Pedestrian,歩行者,,[Leap]見出し番号 1898
Excursion,小旅行,,[Leap]見出し番号 1899
Shipping,発送,,[Leap]見出し番号 1900
Thread,糸,,[Leap]見出し番号 1901
Ornament,飾り,,[Leap]見出し番号 1902
Cosmetic,化粧品,,[Leap]見出し番号 1903
Chamber,部屋,,[Leap]見出し番号 1904
Commodity,商品,,[Leap]見出し番号 1905
Dwell,住む,,[Leap]見出し番号 1906
Acoustic,音響の,,[Leap]見出し番号 1907
Recipe,レシピ,,[Leap]見出し番号 1908
Intake,摂取,,[Leap]見出し番号 1909
Precede,に先行する,,[Leap]見出し番号 1910
Phase,段階,,[Leap]見出し番号 1911
Priority,優先,,[Leap]見出し番号 1912
Premise,前提,,[Leap]見出し番号 1913
Tomb,墓,,[Leap]見出し番号 1914
Legend,伝説,,[Leap]見出し番号 1915
Masterpiece,傑作,,[Leap]見出し番号 1916
Ritual,儀式,,[Leap]見出し番号 1917
Worship,崇拝,,[Leap]見出し番号 1918
Doctrine,教義,,[Leap]見出し番号 1919
Legacy,遺産,,[Leap]見出し番号 1920
Sin,罪,,[Leap]見出し番号 1921
Swear,誓う,,[Leap]見出し番号 1922
Confess,白状する,,[Leap]見出し番号 1923
Carve,を彫る,,[Leap]見出し番号 1924
Murmur,つぶやく,,[Leap]見出し番号 1925
Verbal,言葉による,,[Leap]見出し番号 1926
Oral,口述の,,[Leap]見出し番号 1927
Eloquent,雄弁な,,[Leap]見出し番号 1928
Linguistic,言語の,,[Leap]見出し番号 1929
Metaphor,隠喩,,[Leap]見出し番号 1930
Prose,散文,,[Leap]見出し番号 1931
Narrative,語り,,[Leap]見出し番号 1932
Plot,筋,,[Leap]見出し番号 1933
Draft,下書き,,[Leap]見出し番号 1934
Manuscript,原稿,,[Leap]見出し番号 1935
Paradox,逆説,,[Leap]見出し番号 1936
Slang,俗語,,[Leap]見出し番号 1937
Riddle,なぞなぞ,,[Leap]見出し番号 1938
Exhibit,を展示する,,[Leap]見出し番号 1939
Portray,を描く,,[Leap]見出し番号 1940
Depict,を描く,,[Leap]見出し番号 1941
Landmark,目印,,[Leap]見出し番号 1942
Tease,をからかう,,[Leap]見出し番号 1943
Delight,を喜ばせる,,[Leap]見出し番号 1944
Astonish,を驚かせる,,[Leap]見出し番号 1945
Dread,を恐れる,,[Leap]見出し番号 1946
Attribute,のせいだとする,,[Leap]見出し番号 1947
Console,を慰める,,[Leap]見出し番号 1948
Arouse,を呼び起こす,,[Leap]見出し番号 1949
Distract,をそらす,,[Leap]見出し番号 1950
Startle,を驚かせる,,[Leap]見出し番号 1951
Thrill,ぞくぞくさせる,,[Leap]見出し番号 1952
Humiliate,に恥をかかせる,,[Leap]見出し番号 1953
Adore,を熱愛している,,[Leap]見出し番号 1954
Utter,を発する,,[Leap]見出し番号 1955
Exclaim,叫ぶ,,[Leap]見出し番号 1956
Shed,を流す,,[Leap]見出し番号 1957
Resent,に憤慨する,,[Leap]見出し番号 1958
Plead,懇願する,,[Leap]見出し番号 1959
Yearn,切望する,,[Leap]見出し番号 1960
Long,切望する,,[Leap]見出し番号 1961
Immerse,を没頭させる,,[Leap]見出し番号 1962
Bewilder,を当惑させる,,[Leap]見出し番号 1963
Despise,を軽蔑する,,[Leap]見出し番号 1964
Willing,嫌がらずにする,,[Leap]見出し番号 1965
Furious,激怒した,,[Leap]見出し番号 1966
Intimate,親密な,,[Leap]見出し番号 1967
Aesthetic,美的の,,[Leap]見出し番号 1968
Conscious,良心,,[Leap]見出し番号 1969
Mercy,慈悲,,[Leap]見出し番号 1970
Compassion,同情,,[Leap]見出し番号 1971
Impulse,衝動,,[Leap]見出し番号 1972
Aspiration,熱望,,[Leap]見出し番号 1973
Grief,深い悲しみ,,[Leap]見出し番号 1974
Contempt,軽蔑,,[Leap]見出し番号 1975
Insult,侮辱,,[Leap]見出し番号 1976
Nuisance,迷惑,,[Leap]見出し番号 1977
Surge,高まり,,[Leap]見出し番号 1978
Incentive,励み,,[Leap]見出し番号 1979
Outcome,結果,,[Leap]見出し番号 1980
Factor,要因,,[Leap]見出し番号 1981
Liable,しがちだ,,[Leap]見出し番号 1982
Thorough,完全な,,[Leap]見出し番号 1983
Adequate,十分な,,[Leap]見出し番号 1984
Overall,全体的な,,[Leap]見出し番号 1985
Ultimate,究極の,,[Leap]見出し番号 1986
Genuine,心からの,,[Leap]見出し番号 1987
Slight,わずかな,,[Leap]見出し番号 1988
Radical,根本的な,,[Leap]見出し番号 1989
Trivial,些細な,,[Leap]見出し番号 1990
Potent,強力な,,[Leap]見出し番号 1991
Likewise,同様に,,[Leap]見出し番号 1992
Virtually,事実上,,[Leap]見出し番号 1993
Abruptly,不意に,,[Leap]見出し番号 1994
Deliberately,故意に,,[Leap]見出し番号 1995
Exclusively,もっぱら,,[Leap]見出し番号 1996
Hence,だから,,[Leap]見出し番号 1997
Namely,すなわち,,[Leap]見出し番号 1998
Allegedly,伝えられるところによると,,[Leap]見出し番号 1999
Whereas,だが一方,,[Leap]見出し番号 2000
